2019-03-01,達文西密碼,Dan Brown
2019-03-15,昨日也曾愛著他,入間人間
2019-03-19,只要眼眸中滿是彩虹,入間人間
2019-03-20,哈利波特(1),J.K. Rowling
2019-03-31,另一段生命,入間人間
2019-04-01,如果這樣，會怎樣,Randall Munroe
2019-04-02,哈利波特(2),J.K. Rowling
2019-10-01,天氣之子,新海誠
